YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/4/1,23:31:17,18.18,14.33,9.398885,1299.57,7.893003
2021/4/1,23:36:18,18.08,14.47,9.417691,1297.828,7.902369
2021/4/1,23:41:19,19.76,16.15,9.474098,1294.646,7.95292
2021/4/1,23:46:19,21.51,18.58,9.568073,1292.321,8.051042
2021/4/1,23:51:20,25.34,22.99,9.624436,1288.882,8.061317
2021/4/1,23:56:21,20.29,16.04,9.568073,1285.931,8.13216
2021/4/2,0:1:22,28.40,26.58,9.699561,1283.442,8.166533
2021/4/2,0:6:22,29.64,28.16,9.755886,1280.767,8.209675
2021/4/2,0:11:23,30.31,28.25,9.755886,1277.698,8.216641
2021/4/2,0:16:24,27.26,23.96,9.699561,1274.749,8.216739
2021/4/2,0:21:25,33.89,32.15,9.793427,1271.397,8.256073
2021/4/2,0:26:25,36.41,34.55,9.793427,1270.629,8.26243
2021/4/2,0:31:26,37.88,36.66,9.774657,1266.748,8.24437
2021/4/2,0:36:27,40.38,39.21,9.755886,1262.868,8.246996
2021/4/2,0:41:28,35.40,34.33,9.755886,1260.311,8.19677
2021/4/2,0:46:28,44.81,44.06,9.737113,1256.175,8.194457
2021/4/2,0:51:29,39.55,38.13,9.737113,1252.34,8.194556
2021/4/2,0:56:30,50.09,50.01,9.699561,1248.671,8.167641
2021/4/2,1:1:31,47.55,46.61,9.699561,1244.581,8.154538
2021/4/2,1:6:31,49.63,49.27,9.680783,1243.003,8.145366
2021/4/2,1:11:32,52.98,52.59,9.662003,1239.635,8.112713
2021/4/2,1:16:33,48.29,47.39,9.64322,1235.501,8.091554
2021/4/2,1:21:34,41.65,38.16,9.755886,1232.184,8.081781
2021/4/2,1:26:34,47.03,45.71,9.64322,1229.11,8.066563
2021/4/2,1:31:35,46.94,46.06,9.624436,1227.021,8.058603
2021/4/2,1:36:36,49.61,49.33,9.586863,1222.844,8.028681
2021/4/2,1:41:37,44.68,44.35,9.64322,1220.418,8.072107
2021/4/2,1:46:37,49.74,49.12,9.568073,1218.456,8.021821
2021/4/2,1:51:38,49.21,48.40,9.605651,1214.453,8.038051
2021/4/2,1:56:39,51.86,51.37,9.530489,1213.513,8.005197
2021/4/2,2:1:40,51.81,50.23,9.586863,1210.064,7.978801
2021/4/2,2:6:40,50.56,49.63,9.549282,1206.911,8.003479
2021/4/2,2:11:41,50.21,49.21,9.549282,1204.611,7.978095
2021/4/2,2:16:42,53.00,52.25,9.492897,1203.716,7.905391
2021/4/2,2:21:43,53.22,51.90,9.474098,1202.907,7.926441
2021/4/2,2:26:43,52.06,51.58,9.455297,1200.309,7.904081
2021/4/2,2:31:44,53.45,52.94,9.436496,1200.522,7.875582
2021/4/2,2:36:45,53.83,52.71,9.455297,1199.287,7.866722
2021/4/2,2:41:46,53.91,53.10,9.417691,1198.18,7.858061
2021/4/2,2:46:46,54.18,53.45,9.417691,1197.413,7.832481
2021/4/2,2:51:47,53.82,53.33,9.398885,1197.371,7.842351
2021/4/2,2:56:48,54.12,53.05,9.398885,1197.115,7.82483
2021/4/2,3:1:48,54.35,53.55,9.380078,1196.307,7.819192
2021/4/2,3:6:49,53.78,53.24,9.380078,1197.328,7.804895
2021/4/2,3:11:50,53.48,52.95,9.380078,1196.562,7.808219
2021/4/2,3:16:51,54.81,54.00,9.380078,1196.562,7.798857
2021/4/2,3:21:51,55.36,54.76,9.361268,1198.563,7.801071
2021/4/2,3:26:52,56.35,55.77,9.361268,1199.585,7.79463
2021/4/2,3:31:53,54.32,53.63,9.361268,1200.863,7.785974
2021/4/2,3:36:54,53.92,53.04,9.361268,1201.373,7.784163
2021/4/2,3:41:55,55.32,54.69,9.342457,1201.586,7.770369
2021/4/2,3:46:55,54.63,53.97,9.342457,1205.418,7.779733
2021/4/2,3:51:56,53.34,52.48,9.361268,1206.228,7.805199
2021/4/2,3:56:57,54.05,53.05,9.342457,1206.696,7.774097
2021/4/2,4:1:57,54.38,53.34,9.342457,1209.761,7.765741
2021/4/2,4:6:58,54.18,53.70,9.342457,1210.783,7.763831
2021/4/2,4:11:59,55.26,54.54,9.304829,1213.507,7.76111
2021/4/2,4:17:0,54.27,53.52,9.342457,1215.382,7.771379
2021/4/2,4:22:0,56.74,56.01,9.304829,1217.594,7.758496
2021/4/2,4:27:1,53.64,52.68,9.323643,1219.426,7.754571
2021/4/2,4:32:2,55.45,54.85,9.304829,1223.469,7.740581
2021/4/2,4:37:3,55.37,54.47,9.304829,1226.79,7.75829
2021/4/2,4:42:3,54.84,53.68,9.323643,1230.155,7.73334
2021/4/2,4:47:4,54.18,53.25,9.323643,1232.709,7.755678
2021/4/2,4:52:5,52.23,51.57,9.323643,1236.541,7.755476
2021/4/2,4:57:6,55.01,54.11,9.304829,1239.562,7.771178
2021/4/2,5:2:6,57.82,57.52,9.304829,1242.628,7.766348
2021/4/2,5:7:7,54.11,53.27,9.304829,1245.948,7.761013
2021/4/2,5:12:8,54.63,53.83,9.304829,1249.013,7.767053
2021/4/2,5:17:9,54.85,53.71,9.304829,1252.845,7.759199
2021/4/2,5:22:9,56.17,55.23,9.323643,1256.722,7.756588
2021/4/2,5:27:10,56.98,55.72,9.286011,1259.697,7.753365
2021/4/2,5:32:11,56.16,55.00,9.267193,1263.739,7.75588
2021/4/2,5:37:12,55.49,54.29,9.304829,1267.15,7.756383
2021/4/2,5:42:12,57.33,56.19,9.304829,1270.471,7.734948
2021/4/2,5:47:13,57.53,56.21,9.286011,1274.768,7.737162
2021/4/2,5:52:14,51.21,50.32,9.304829,1276.857,7.767351
2021/4/2,5:57:15,53.19,51.68,9.304829,1280.944,7.751149
2021/4/2,6:2:15,51.45,50.41,9.304829,1285.031,7.762826
2021/4/2,6:7:16,55.23,53.79,9.304829,1287.586,7.753968
2021/4/2,6:12:17,55.64,54.56,9.286011,1290.605,7.759704
2021/4/2,6:17:18,57.58,56.05,9.248371,1293.322,7.743401
